iter	Passed	Remaining
697	2004274	867179
698	2006464	864013
699	2008178	860648
700	2010290	857456
701	2012269	854211
702	2014290	850987
703	2015843	847570
704	2017619	844252
705	2019234	840870
706	2020732	837446
707	2022298	834055
708	2023969	830712
709	2025624	827367
710	2027188	823990
711	2028874	820668
712	2030516	817332
713	2031792	813855
714	2033249	810456
715	2034551	807000
716	2036072	803638
717	2037538	800258
718	2039191	796957
719	2040764	793630
720	2042159	790239
721	2043755	786930
722	2045098	783530
723	2046624	780205
724	2047999	776827
725	2049337	773441
726	2051117	770227
727	2052737	766956
728	2054343	763686
729	2055818	760371
730	2057445	757117
731	2059003	753842
732	2060569	750575
733	2062172	747326
734	2063840	744105
735	2065325	740823
736	2066750	737524
737	2068178	734231
738	2069528	730916
739	2070982	727642
740	2072361	724347
741	2074026	721157
742	2075539	717918
743	2076981	714660
744	2078355	711383
745	2079699	708101
746	2081395	704943
747	2083028	701769
748	2084556	698563
749	2085870	695290
750	2087541	692140
751	2089065	688947
752	2090590	685758
753	2092208	682603
754	2093776	679437
755	2095333	676271
756	2096656	673034
757	2098180	669867
758	2099506	666641
759	2101031	663483
760	2102667	660364
761	2104207	657219
762	2105574	654024
763	2107094	650882
764	2108461	647697
765	2109883	644533
766	2111397	641402
767	2112896	638270
768	2114171	635076
769	2115449	631887
770	2116858	628742
771	2118327	625619
772	2119768	622493
773	2121121	619345
774	2122719	616273
775	2124261	613188
776	2125818	610112
777	2127575	607097
778	2128939	603973
779	2130370	600873
780	2131735	597759
781	2133243	594689
782	2134739	591620
783	2136187	588541
784	2137838	585522
785	2139194	582426
786	2140493	579320
787	2142085	576297
788	2143599	573256
789	2145147	570229
790	2146699	567206
791	2148081	564142
792	2149791	561168
793	2151241	558130
794	2152566	555064
795	2154071	552048
796	2155593	549040
797	2156845	545968
798	2158156	542915
799	2159718	539929
800	2161223	536933
801	2162753	533946
802	2164087	530915
803	2165609	527934
804	2167072	524943
805	2168656	521984
806	2169930	518954
807	2171514	516003
808	2172813	512988
809	2174366	510036
810	2175933	507091
811	2177222	504085
812	2178685	501124
813	2180114	498158
814	2181591	495207
815	2182989	492242
816	2184666	489343
817	2186165	486408
818	2187698	483483
819	2189009	480514
820	2190626	477615
821	2192017	474670
822	2193414	471730
823	2195004	468835
824	2196644	465954
825	2198232	463065
826	2199649	460144
827	2201168	457247
828	2202470	454309
829	2203954	451412
830	2205484	448528
831	2207063	445656
832	2208741	442808
833	2210259	439931
834	2211631	437028
835	2212979	434125
836	2214396	431238
837	2215745	428342
838	2217115	425453
839	2218640	422598
840	2219918	419699
841	2221317	416826
842	2222680	413951
843	2223899	411052
844	2225262	408184
845	2226807	405352
846	2228139	402485
847	2229651	399654
848	2231331	396856
849	2232291	393933
850	2233378	391037
851	2234272	388113
852	2235094	385180
853	2235979	382263
854	2236758	379333
855	2237676	376431
856	2238572	373530
857	2239473	370635
858	2240332	367737
859	2241242	364853
860	2242141	361971
861	2242972	359083
862	2243838	356206
863	2244651	353324
864	2245385	350435
865	2246238	347570
866	2247131	344715
867	2247887	341844
868	2248805	339002
869	2249732	336166
870	2250723	333344
871	2251586	330508
872	2252509	327684
873	2253275	324842
874	2254183	322026
875	2255135	319220
876	2256021	316408
877	2256882	313598
878	2257717	310789
879	2258524	307980
880	2259471	305195
881	2260354	302405
882	2261108	299603
883	2261992	296822
884	2262784	294034
885	2263603	291253
886	2264416	288476
887	2265302	285713
888	2266311	282970
889	2267175	280212
890	2267933	277446
891	2268816	274699
892	2269827	271972
893	2270786	269243
894	2271600	266500
895	2272493	263771
896	2273216	261027
897	2274108	258306
898	2274954	255584
899	2275716	252857
900	2276582	250146
901	2277411	247434
902	2278251	244729
903	2279171	242035
904	2280039	239341
905	2280930	236652
906	2281848	233971
907	2282742	231291
908	2283559	228607
909	2284257	225915
910	2285128	223245
911	2285937	220572
912	2286901	217919
913	2287931	215275
914	2288868	212627
915	2289774	209979
916	2290639	207331
917	2291533	204690
918	2292350	202046
919	2293061	199396
920	2293958	196767
921	2294718	194130
922	2295662	191512
923	2296534	188892
924	2297394	186275
925	2298243	183660
926	2299060	181047
927	2300053	178452
928	2300973	175854
929	2301787	173252
930	2302793	170668
931	2303692	168080
932	2304555	165493
933	2305439	162911
934	2306398	160337
935	2307178	157755
936	2307946	155176
937	2308757	152604
938	2309589	150037
939	2310421	147473
940	2311274	144915
941	2312124	142360
942	2312858	139801
943	2313708	137253
944	2314512	134707
945	2315407	132169
946	2316576	129650
947	2317699	127131
948	2318972	124623
949	2319857	122097
950	2320752	119576
951	2321707	117060
952	2322622	114546
953	2323535	112036
954	2324390	109526
955	2325487	107030
956	2326485	104533
957	2327594	102044
958	2328762	99561
959	2329819	97075
960	2330945	94596
961	2332199	92124
962	2333164	89643
963	2334086	87165
964	2335085	84692
965	2335993	82219
966	2336833	79747
967	2337730	77280
968	2338437	74810
969	2339429	72353
970	2340349	69897
971	2341229	67442
972	2342174	64993
973	2343264	62551
974	2344343	60111
975	2345085	57666
976	2345885	55225
977	2346830	52791
978	2347858	50362
979	2348922	47937
980	2350021	45515
981	2350873	43091
982	2351848	40672
983	2352724	38255
984	2353633	35842
985	2354562	33431
986	2355470	31024
987	2356243	28618
988	2357168	26217
989	2358275	23820
990	2359281	21426
991	2360304	19034
992	2361305	16645
993	2362373	14259
994	2363494	11876
995	2364366	9495
996	2365256	7117
997	2366206	4741
998	2367318	2369
999	2368674	0
