iter	RMSE
618	0.8889730205
619	0.8889730203
620	0.8889730203
621	0.8889730202
622	0.8889730201
623	0.888973019
624	0.888973016
625	0.888973015
626	0.8889730143
627	0.8889730136
628	0.8889730133
629	0.8889730133
630	0.8889730132
631	0.8889730132
632	0.8889730117
633	0.8889730113
634	0.8889730112
635	0.8889730112
636	0.8889730079
637	0.8889730078
638	0.8889730077
639	0.8889730056
640	0.8889730013
641	0.8889729991
642	0.8889729975
643	0.8889729972
644	0.8889729969
645	0.8889729921
646	0.888972991
647	0.8889729881
648	0.8889729843
649	0.8889729843
650	0.8889729836
651	0.8889729825
652	0.8889729819
653	0.8889729773
654	0.8889729756
655	0.8889729722
656	0.8889729701
657	0.888972968
658	0.8889729676
659	0.8889729676
660	0.8889729674
661	0.8889729673
662	0.8889729652
663	0.8889729614
664	0.888972959
665	0.8889729528
666	0.8889729526
667	0.8889729523
668	0.8889729517
669	0.8889729514
670	0.8889729506
671	0.8889729479
672	0.8889729464
673	0.8889729433
674	0.8889729433
675	0.8889729423
676	0.8889729408
677	0.8889729406
678	0.8889729401
679	0.8889729398
680	0.8889729398
681	0.8889729386
682	0.8889729369
683	0.8889729368
684	0.8889729361
685	0.8889729361
686	0.8889729359
687	0.8889729346
688	0.8889729335
689	0.8889729304
690	0.8889729288
691	0.8889729274
692	0.888972927
693	0.8889729265
694	0.8889729219
695	0.8889729165
696	0.8889729138
697	0.8889729128
698	0.8889729127
699	0.8889729127
700	0.8889729126
701	0.8889729125
702	0.8889729123
703	0.8889729121
704	0.8889729106
705	0.8889729101
706	0.8889729072
707	0.8889729072
708	0.888972905
709	0.8889729045
710	0.8889729045
711	0.8889729039
712	0.8889729034
713	0.8889729026
714	0.8889729024
715	0.8889729024
716	0.8889729015
717	0.8889729015
718	0.8889729002
719	0.8889728992
720	0.8889728987
721	0.8889728976
722	0.8889728969
723	0.8889728964
724	0.8889728955
725	0.8889728954
726	0.888972893
727	0.8889728921
728	0.8889728919
729	0.8889728907
730	0.8889728889
731	0.8889728874
732	0.888972887
733	0.8889728869
734	0.8889728861
735	0.8889728858
736	0.8889728858
737	0.8889728846
738	0.8889728845
739	0.8889728839
740	0.8889728839
741	0.8889728824
742	0.888972882
743	0.8889728813
744	0.8889728813
745	0.8889728812
746	0.88897288
747	0.8889728798
748	0.8889728787
749	0.8889728786
750	0.8889728772
751	0.888972877
752	0.8889728769
753	0.888972875
754	0.8889728749
755	0.8889728743
756	0.8889728743
757	0.888972874
758	0.8889728739
759	0.8889728722
760	0.8889728713
761	0.8889728702
762	0.8889728699
763	0.8889728699
764	0.8889728694
765	0.8889728693
766	0.888972868
767	0.8889728673
768	0.8889728672
769	0.888972867
770	0.8889728668
771	0.8889728653
772	0.8889728652
773	0.8889728652
774	0.8889728641
775	0.8889728636
776	0.8889728626
777	0.8889728618
778	0.8889728618
779	0.8889728618
780	0.8889728617
781	0.8889728615
782	0.8889728608
783	0.8889728607
784	0.8889728598
785	0.8889728597
786	0.8889728597
787	0.8889728597
788	0.8889728596
789	0.8889728595
790	0.8889728594
791	0.8889728594
792	0.8889728593
793	0.8889728592
794	0.8889728592
795	0.8889728588
796	0.8889728586
797	0.8889728586
798	0.8889728586
799	0.8889728574
800	0.8889728573
801	0.8889728573
802	0.888972857
803	0.8889728559
804	0.8889728558
805	0.8889728546
806	0.8889728546
807	0.8889728545
808	0.8889728545
809	0.8889728541
810	0.888972854
811	0.888972854
812	0.8889728538
813	0.8889728529
814	0.8889728529
815	0.8889728528
816	0.8889728525
817	0.8889728522
